,setup,map_id,smoke_level,trial_index,rmse,rmse_scale,hallucination_count,hallucination_count_total,hallucination_percent,undetected_count,undetected_count_total,undetected_percent,num_clusters,number_disparity,latency_fusion,latency_inference
61,STEREO,2,2,1,0.1752071538564558,16.92507800296745,95,6363,0.01493006443501493,5186,15183,0.3415662253836528,42,148894,,
62,STEREO,2,2,6,0.17576874003634854,13.546895519633154,113,6715,0.016827997021593447,5045,15183,0.33227952315089243,37,148764,,
63,STEREO,2,2,7,0.16660505582371318,18.289761721187094,57,6418,0.008881271424119663,4779,15183,0.3147599288678127,39,148668,,
64,STEREO,2,2,14,0.170650595867015,16.336548313562,82,6450,0.012713178294573644,5158,15183,0.33972205756438123,49,148771,,
65,STEREO,2,2,5,0.1910426575083275,16.784265066756685,192,6465,0.029698375870069606,5441,15183,0.3583613251663044,41,149036,,
66,STEREO,2,2,9,0.16670996467388813,14.488151611827766,166,6454,0.025720483421134182,4976,15183,0.3277349667391161,51,148819,,
67,STEREO,2,2,3,0.14695209472621693,14.975388873465985,17,6092,0.0027905449770190415,5150,15183,0.3391951524731608,39,149096,,
68,STEREO,2,2,11,0.17393623280889373,14.783024133476205,70,4226,0.01656412683388547,8235,15183,0.5423829282750444,37,149901,,
69,STEREO,2,2,2,0.16777557569445573,17.41019357121887,108,6328,0.01706700379266751,5295,15183,0.3487453072515313,40,149227,,
70,STEREO,2,2,10,0.1550585163744572,15.400496688893254,65,6344,0.010245901639344262,5138,15183,0.3384047948363301,39,148813,,
71,STEREO,2,2,12,0.20335169344703577,16.95564329153625,189,4427,0.04269256833069799,7654,15183,0.5041164460251597,38,150894,,
72,STEREO,2,2,4,0.1613856782769716,15.144048420084257,62,6119,0.010132374571008334,5607,15183,0.36929460580912865,36,148696,,
73,STEREO,2,2,13,0.18241820502863032,16.56500252772117,126,6596,0.01910248635536689,5162,15183,0.33998551010999145,47,148458,,
74,STEREO,2,2,8,0.16387182223039642,19.26358762510899,69,6337,0.010888433012466467,5426,15183,0.3573733781202661,38,148627,,
75,STEREO,2,1,14,0.19709174723827322,18.534564366190633,1718,16108,0.10665507822200149,1568,15183,0.103273397879207,77,222375,,
76,STEREO,2,1,4,0.19866456111550634,19.51588260869237,733,14947,0.049039941125309426,1477,15183,0.09727985246657446,73,222823,,
77,STEREO,2,1,13,0.1850761055981982,20.94277384130089,1017,15453,0.06581246359930111,1581,15183,0.10412961865244023,58,222833,,
78,STEREO,2,1,8,0.19016701821053575,18.15542628574034,918,15192,0.06042654028436019,1449,15183,0.0954356846473029,59,222770,,
79,STEREO,2,1,10,0.19401620547936926,16.61384585033118,822,15293,0.0537500817367423,1451,15183,0.09556741092010801,76,222970,,
80,STEREO,2,1,12,0.2064581162365613,16.843171377936947,539,14839,0.0363232023721275,1400,15183,0.09220839096357769,60,222907,,
81,STEREO,2,1,7,0.2092622712927459,18.64323247591022,867,15606,0.05555555555555555,1534,15183,0.10103405124152012,66,222623,,
82,STEREO,2,1,9,0.19543416430203087,21.63829327565839,728,15516,0.04691930910028358,1457,15183,0.09596258973852335,61,222575,,
83,STEREO,2,1,11,0.20857507316388182,21.000107408114623,1296,16170,0.08014842300556586,1316,15183,0.08667588750576302,68,222488,,
84,STEREO,2,1,1,0.2000544395056698,17.122165821919605,359,15518,0.023134424539244747,1202,15183,0.0791674899558717,59,222555,,
85,STEREO,2,1,0,0.20335744270028935,16.90112870713171,1509,16047,0.09403626846139465,1796,15183,0.11829019297898966,75,222433,,
86,STEREO,2,1,2,0.19127267360393574,20.918365742701635,517,14848,0.03481950431034483,1525,15183,0.10044128301389713,59,222674,,
87,STEREO,2,1,3,0.19022704091373033,19.46129322177992,664,15192,0.04370721432332807,1823,15183,0.12006849766185866,60,222516,,
88,STEREO,2,1,5,0.19510956870339843,18.144304641783645,656,14792,0.04434829637641969,1273,15183,0.08384377264045313,66,222796,,
89,STEREO,2,1,6,0.2108408744065731,16.483755081021233,669,15242,0.04389187770633775,1504,15183,0.09905815714944345,59,222765,,
90,STEREO,2,0,12,0.19993695864557925,12.409126191728935,1466,21468,0.06828768399478294,886,15183,0.058354738852664165,49,242697,,
91,STEREO,2,0,9,0.21683035114071972,15.374574178830237,1328,21892,0.06066142883245021,676,15183,0.04452348020812751,57,242794,,
92,STEREO,2,0,6,0.21141414350633406,16.49682258414443,1597,21499,0.07428252476859389,728,15183,0.0479483633010604,62,242646,,
93,STEREO,2,0,0,0.2090007820934434,18.562240257905678,2151,22358,0.09620717416584668,762,15183,0.050187709938747285,58,242375,,
94,STEREO,2,0,11,0.20443090217212476,17.467051758196877,842,20447,0.04117963515430136,875,15183,0.05763024435223606,60,242316,,
95,STEREO,2,0,10,0.2131597709462735,16.226829198691533,1398,21774,0.06420501515569027,845,15183,0.055654350260159385,63,242554,,
96,STEREO,2,0,13,0.20304265362563664,17.899662048725475,475,20223,0.023488107600257133,826,15183,0.054402950668510835,53,242562,,
97,STEREO,2,0,2,0.20199724775731495,18.07481361029793,1776,21677,0.08193015638695392,798,15183,0.05255878284923928,61,242574,,
98,STEREO,2,0,14,0.20580095953749863,16.74503179001227,1172,21791,0.05378367215823046,839,15183,0.055259171441744054,63,242725,,
99,STEREO,2,0,5,0.21508535518413693,18.884422898402466,2375,22612,0.10503272598620202,834,15183,0.05492985575973128,65,242339,,
100,STEREO,2,0,8,0.21843458470206575,17.896175730164124,1689,21710,0.07779824965453708,811,15183,0.0534150036224725,56,242377,,
